Date,Open,High,Low,Close,Adj Close,Volume
8/20/21,3203.870117,3207.810059,3175.76001,3199.949951,3199.949951,3358400
8/23/21,3211.899902,3280.899902,3210.01001,3265.870117,3265.870117,3268100
8/24/21,3280,3315.48999,3274.580078,3305.780029,3305.780029,2551800
8/25/21,3309.870117,3321,3286.149902,3299.179932,3299.179932,1680300
8/26/21,3299,3332,3296,3316,3316,2098800
8/27/21,3333.22998,3352.320068,3313.75,3349.629883,3349.629883,2402400
8/30/21,3357.429932,3445,3355.219971,3421.570068,3421.570068,3192200
8/31/21,3424.800049,3472.580078,3395.590088,3470.790039,3470.790039,4356400
9/1/21,3496.399902,3527,3475.23999,3479,3479,3629900
9/2/21,3494.76001,3511.959961,3455,3463.120117,3463.120117,2923700
9/3/21,3452,3482.669922,3436.439941,3478.050049,3478.050049,2575700
9/7/21,3478,3528.090088,3476.939941,3509.290039,3509.290039,2737900
9/8/21,3511.649902,3545.629883,3495.669922,3525.5,3525.5,3053400
9/9/21,3526.02002,3549.98999,3480.370117,3484.159912,3484.159912,2719200
9/10/21,3501.830078,3508.449951,3462.909912,3469.149902,3469.149902,2397300
9/13/21,3482.800049,3497.959961,3438,3457.169922,3457.169922,2569000
9/14/21,3475.550049,3486.810059,3437.709961,3450,3450,1936900
9/15/21,3442.52002,3485.419922,3402.01001,3475.790039,3475.790039,2957500
9/16/21,3459.959961,3492.550049,3446.139893,3488.23999,3488.23999,2583600
9/17/21,3488.409912,3497.409912,3452.129883,3462.52002,3462.52002,4616600
9/20/21,3396,3419,3305.01001,3355.72998,3355.72998,4669100
9/21/21,3375,3379.699951,3332.389893,3343.629883,3343.629883,2780900
9/22/21,3351,3389,3341.050049,3380.050049,3380.050049,2411400
9/23/21,3380.050049,3428.959961,3380.050049,3416,3416,2379400
9/24/21,3402.01001,3429.26001,3393.399902,3425.52002,3425.52002,2116200
9/27/21,3371.5,3415.570068,3339.610107,3405.800049,3405.800049,3634500
9/28/21,3357.709961,3369.189941,3290.100098,3315.959961,3315.959961,4430800
9/29/21,3322.110107,3351.300049,3297.870117,3301.120117,3301.120117,2562300
9/30/21,3316,3327.850098,3273.98999,3285.040039,3285.040039,2842400
10/1/21,3289.01001,3309.169922,3255.939941,3283.26001,3283.26001,2835600
10/4/21,3279.389893,3279.98999,3176.25,3189.780029,3189.780029,4523100
10/5/21,3204.5,3260.72998,3202.459961,3221,3221,3269200
10/6/21,3213.530029,3264.340088,3198.620117,3262.01001,3262.01001,2533000
10/7/21,3291.540039,3325.75,3283.060059,3302.429932,3302.429932,2409100
10/8/21,3317,3321.429932,3288.199951,3288.620117,3288.620117,1998200
10/11/21,3275,3292.590088,3238.100098,3246.300049,3246.300049,2034200
10/12/21,3257,3267.530029,3236.280029,3247.330078,3247.330078,1819600
10/13/21,3269.709961,3288.379883,3261.090088,3284.280029,3284.280029,2420100
10/14/21,3302.449951,3312.600098,3290.780029,3299.860107,3299.860107,2109500
10/15/21,3311.419922,3410.419922,3304,3409.02002,3409.02002,5179900
10/18/21,3388.360107,3449.169922,3385.100098,3446.73999,3446.73999,3174100
10/19/21,3434.290039,3454.689941,3422,3444.149902,3444.149902,2386100
10/20/21,3452.659912,3462.860107,3400.370117,3415.060059,3415.060059,2139800
10/21/21,3414.25,3440.280029,3403,3435.01001,3435.01001,1881400
10/22/21,3421,3429.840088,3331.300049,3335.550049,3335.550049,3139100
10/25/21,3335,3347.800049,3297.699951,3320.370117,3320.370117,2226000
10/26/21,3349.51001,3416.120117,3343.97998,3376.070068,3376.070068,2698300
10/27/21,3388,3437,3371.449951,3392.48999,3392.48999,2702200
10/28/21,3402.100098,3479,3386,3446.570068,3446.570068,5708700
10/29/21,3300.02002,3374.820068,3273.320068,3372.429932,3372.429932,6486100
11/1/21,3361.800049,3375.860107,3292.02002,3318.110107,3318.110107,3608900
11/2/21,3315.01001,3331.120117,3283.550049,3312.75,3312.75,2627600
11/3/21,3309,3394.919922,3297.52002,3384,3384,3397200
11/4/21,3370,3498.629883,3365,3477,3477,5353000
11/5/21,3477,3566.25,3476.97998,3518.98999,3518.98999,4997000
11/8/21,3523.23999,3579,3487.860107,3488.97998,3488.97998,3074000
11/9/21,3515.25,3593.77002,3501.429932,3576.22998,3576.22998,4294900
11/10/21,3563.870117,3605.449951,3463.090088,3482.050049,3482.050049,4027400
11/11/21,3513,3543.23999,3467.469971,3472.5,3472.5,2264400
11/12/21,3485,3540.72998,3447.050049,3525.149902,3525.149902,2689400
